Species,Number,Number_Per_Party_Hrs,Flags,Editorial_Comments
Stripe-headed Sparrow,12,0.1788,,
Olive Sparrow,2,0.0298,,
Summer Tanager,14,0.2086,,
Western Tanager,6,0.0894,,
Blue Grosbeak,2,0.0298,,
Indigo Bunting,1,0.0149,,
Painted Bunting,3,0.0447,,
Dickcissel,20,0.2981,,
Melodious Blackbird,15,0.2235,,
Great-tailed Grackle,122,1.8182,,
Streak-backed Oriole,34,0.5067,"HC, ",
Spot-breasted Oriole,5,0.0745,"HC, ",
Baltimore Oriole,4,0.0596,,
Montezuma Oropendola,51,0.7601,,
Scrub Euphonia,26,0.3875,,
Yellow-crowned Euphonia,8,0.1192,,
Yellow-throated Euphonia,11,0.1639,,

